throughput_mbps,congestion_ratio,packet_loss_percent,latency_ms,jitter_ms,line_down
76.05,0.7605,6.08,19.1,2.76,0
72.34,0.7234,5.56,32.42,4.39,0
58.76,0.5876,10.63,22.69,2.68,0
13.05,0.1305,10.0,25.89,3.86,0
71.16,0.7116,3.38,22.2,3.24,0
55.49,0.5549,5.56,16.86,2.78,0
68.01,0.6801,9.36,35.18,4.05,0
25.27,0.2527,10.63,46.71,6.23,0
85.62,0.8562,5.71,29.73,3.96,0
76.35,0.7635,3.24,13.32,1.41,0
20.94,0.2094,9.46,31.45,3.35,0
36.6,0.366,6.96,41.6,5.36,0
73.04,0.7304,3.4,20.21,2.86,0
46.6,0.466,6.47,11.93,2.39,0
29.17,0.2917,6.92,30.86,4.73,0
49.12,0.4912,8.78,13.46,2.75,0
45.91,0.4591,5.6,13.89,1.78,0
18.66,0.1866,5.85,29.88,3.43,0
20.14,0.2014,8.25,37.51,5.21,0
49.76,0.4976,6.72,26.84,3.99,0
64.39,0.6439,11.59,39.6,4.83,0
76.21,0.7621,7.82,6.01,1.7,0
19.72,0.1972,9.15,17.41,2.32,0
24.34,0.2434,11.41,42.94,5.3,0
80.49,0.8049,4.12,8.16,2.42,0
53.33,0.5333,7.18,33.6,3.51,0
28.7,0.287,2.46,7.54,2.42,0
60.88,0.6088,2.15,16.79,2.83,0
92.6,0.926,4.74,29.92,3.24,0
23.64,0.2364,1.13,13.92,3.17,0
25.32,0.2532,9.56,23.83,2.81,0
48.67,0.4867,11.04,24.12,4.1,0
47.49,0.4749,4.88,28.2,3.02,0
26.17,0.2617,4.46,32.74,3.69,0
44.4,0.444,6.75,31.61,3.69,0
50.91,0.5091,6.28,40.61,4.8,0
57.0,0.57,1.21,27.74,2.85,0
39.76,0.3976,8.73,17.5,1.75,0
22.64,0.2264,3.42,13.09,1.35,0
47.95,0.4795,6.44,12.91,2.5,0
34.06,0.3406,9.93,44.8,5.87,0
77.63,0.7763,4.1,31.45,5.13,0
62.94,0.6294,2.79,22.08,4.09,0
18.47,0.1847,9.99,31.65,4.23,0
56.74,0.5674,8.63,32.68,5.11,0
20.8,0.208,7.08,28.75,3.19,0
74.14,0.7414,7.51,32.28,3.26,0
21.61,0.2161,4.78,11.69,2.36,0
83.18,0.8318,3.73,35.66,3.57,0
49.16,0.4916,4.8,11.57,2.25,0
32.53,0.3253,3.36,26.64,3.22,0
44.53,0.4453,13.03,23.61,2.6,0
50.14,0.5014,11.7,18.86,3.6,0
33.14,0.3314,2.13,11.2,2.86,0
16.4,0.164,6.5,8.91,2.32,0
41.51,0.4151,2.3,19.87,3.71,0
46.38,0.4638,5.57,24.21,2.72,0
23.34,0.2334,6.67,23.51,4.12,0
54.72,0.5472,3.61,16.37,3.12,0
43.72,0.4372,9.68,37.37,4.62,0
41.25,0.4125,6.23,15.56,3.03,0
36.71,0.3671,8.84,47.31,5.73,0
37.23,0.3723,4.25,18.93,2.48,0
15.35,0.1535,7.32,23.75,2.4,0
24.5,0.245,6.99,24.86,3.39,0
16.4,0.164,8.04,21.79,3.28,0
82.21,0.8221,6.32,14.38,2.12,0
26.11,0.2611,3.5,26.93,4.1,0
66.56,0.6656,8.83,15.69,2.09,0
61.56,0.6156,8.21,41.92,4.42,0
43.4,0.434,7.33,19.32,3.56,0
52.72,0.5272,5.2,8.75,1.07,0
24.99,0.2499,2.73,12.94,2.51,0
23.93,0.2393,5.35,20.17,2.68,0
75.41,0.7541,4.43,36.68,5.47,0
16.83,0.1683,9.47,30.29,4.68,0
22.3,0.223,5.36,15.58,3.29,0
32.25,0.3225,6.93,36.7,5.22,0
35.53,0.3553,7.86,18.91,2.89,0
67.89,0.6789,5.31,38.4,4.05,0
24.97,0.2497,4.74,20.86,2.88,0
46.94,0.4694,13.14,35.69,4.3,0
24.48,0.2448,5.82,11.03,2.81,0
51.84,0.5184,7.42,41.42,4.57,0
46.24,0.4624,8.9,23.5,3.15,0
30.3,0.303,10.38,23.55,2.39,0
81.03,0.8103,5.52,27.44,3.7,0
58.27,0.5827,6.9,37.73,4.33,0
61.81,0.6181,7.47,20.14,2.78,0
19.37,0.1937,6.32,20.97,2.64,0
73.79,0.7379,9.88,28.58,3.35,0
59.15,0.5915,0.64,15.93,2.97,0
33.1,0.331,7.03,14.72,2.77,0
56.5,0.565,7.96,34.44,4.37,0
65.97,0.6597,6.73,35.86,4.12,0
21.01,0.2101,7.11,18.41,3.1,0
49.68,0.4968,13.59,44.38,5.42,0
30.19,0.3019,9.22,49.11,5.1,0
73.83,0.7383,0.6,24.9,4.41,0
47.48,0.4748,7.58,25.64,3.18,0
35.59,0.3559,2.05,4.12,1.89,0
66.81,0.6681,5.12,37.13,4.86,0
33.32,0.3332,4.32,17.07,2.83,0
82.71,0.8271,3.81,16.27,3.03,0
55.25,0.5525,7.32,28.79,4.56,0
74.9,0.749,2.67,33.15,4.81,0
22.12,0.2212,8.23,34.26,3.84,0
47.69,0.4769,7.29,10.0,1.36,0
75.82,0.7582,1.7,19.47,3.43,0
70.32,0.7032,0.76,30.3,4.16,0
36.69,0.3669,1.52,20.16,3.97,0
95.87,0.9587,4.47,31.61,4.74,0
42.31,0.4231,5.33,19.57,2.66,0
79.14,0.7914,4.36,20.77,3.02,0
58.01,0.5801,2.64,32.03,3.36,0
26.75,0.2675,3.97,35.62,5.32,0
66.25,0.6625,13.08,44.7,4.68,0
52.65,0.5265,2.21,12.77,2.84,0
76.22,0.7622,5.42,15.7,2.25,0
43.6,0.436,7.01,31.26,3.53,0
41.63,0.4163,6.52,30.61,3.09,0
23.91,0.2391,4.15,23.52,2.55,0
29.19,0.2919,3.83,14.96,3.3,0
38.08,0.3808,6.18,15.6,2.73,0
40.9,0.409,10.38,41.14,6.04,0
26.96,0.2696,6.44,32.59,3.37,0
72.53,0.7253,3.61,9.78,2.87,0
76.71,0.7671,7.6,12.05,2.92,0
33.73,0.3373,7.44,22.88,3.25,0
17.68,0.1768,8.67,34.63,4.79,0
69.02,0.6902,5.78,34.15,4.0,0
30.36,0.3036,6.24,13.79,2.02,0
88.07,0.8807,3.55,4.89,2.06,0
28.32,0.2832,6.56,32.64,3.98,0
44.57,0.4457,5.96,41.61,5.51,0
31.3,0.313,5.47,21.39,3.15,0
69.14,0.6914,8.44,20.53,2.73,0
54.57,0.5457,3.66,30.5,4.23,0
48.05,0.4805,3.41,6.5,1.71,0
60.44,0.6044,9.43,25.34,2.61,0
19.88,0.1988,5.05,14.76,2.34,0
19.06,0.1906,5.18,24.98,2.99,0
25.05,0.2505,5.29,23.67,2.59,0
40.71,0.4071,7.62,31.35,3.86,0
33.06,0.3306,4.77,15.29,1.66,0
44.38,0.4438,9.32,38.35,5.14,0
54.48,0.5448,2.95,20.57,2.86,0
65.33,0.6533,6.19,12.44,2.26,0
37.57,0.3757,5.31,31.56,3.51,0
31.94,0.3194,9.73,25.4,3.4,0
36.28,0.3628,1.89,28.59,3.74,0
20.18,0.2018,3.33,17.83,3.66,0
46.04,0.4604,9.79,34.52,4.83,0
31.52,0.3152,6.87,29.22,3.28,0
68.25,0.6825,11.18,40.6,6.04,0
55.73,0.5573,7.1,18.08,2.5,0
34.75,0.3475,3.51,11.02,2.71,0
19.05,0.1905,13.14,38.66,4.42,0
24.27,0.2427,4.8,21.9,3.45,0
34.43,0.3443,5.82,20.73,3.09,0
83.33,0.8333,4.7,7.19,2.69,0
76.05,0.7605,8.13,36.38,5.31,0
84.01,0.8401,2.31,30.97,3.45,0
77.56,0.7756,2.04,19.64,3.95,0
52.35,0.5235,7.13,34.73,4.23,0
39.64,0.3964,11.41,19.1,3.5,0
23.87,0.2387,1.92,30.34,4.24,0
46.81,0.4681,10.19,46.81,4.98,0
41.26,0.4126,8.28,39.39,4.68,0
74.9,0.749,3.85,10.79,1.56,0
61.52,0.6152,5.71,30.6,4.65,0
21.99,0.2199,2.31,35.19,4.01,0
32.53,0.3253,6.39,29.41,4.72,0
18.79,0.1879,5.43,35.31,5.16,0
28.69,0.2869,8.8,38.76,4.97,0
67.96,0.6796,5.1,21.63,2.57,0
27.6,0.276,8.58,35.17,5.1,0
22.06,0.2206,4.38,25.33,4.06,0
73.95,0.7395,1.82,17.56,3.41,0
21.88,0.2188,5.75,20.66,3.52,0
68.54,0.6854,6.34,34.86,5.42,0
54.07,0.5407,5.63,26.43,4.19,0
38.69,0.3869,3.39,7.58,1.29,0
21.78,0.2178,4.77,26.37,3.72,0
41.28,0.4128,2.86,16.65,2.6,0
24.77,0.2477,9.07,20.26,2.03,0
35.76,0.3576,7.18,23.35,2.35,0
36.89,0.3689,4.59,11.18,2.14,0
76.62,0.7662,8.74,15.96,2.49,0
35.24,0.3524,7.04,19.9,2.17,0
41.15,0.4115,11.56,19.49,2.27,0
39.42,0.3942,4.46,25.08,2.68,0
31.34,0.3134,5.8,22.94,4.06,0
69.79,0.6979,11.93,36.46,5.41,0
70.61,0.7061,4.73,22.47,4.15,0
22.42,0.2242,6.8,21.8,3.12,0
31.85,0.3185,6.81,41.64,4.48,0
61.3,0.613,8.28,27.38,3.84,0
44.04,0.4404,5.75,30.91,3.95,0
70.29,0.7029,5.74,8.13,1.5,0
64.16,0.6416,0.72,21.54,2.87,0
70.35,0.7035,4.12,27.64,3.82,0
51.65,0.5165,5.59,21.41,2.35,0
55.98,0.5598,5.04,41.79,5.34,0
79.1,0.791,3.89,17.57,3.05,0
73.7,0.737,8.76,26.24,3.02,0
46.09,0.4609,8.8,35.32,4.71,0
26.0,0.26,5.96,26.39,3.48,0
47.59,0.4759,10.37,33.09,3.6,0
73.84,0.7384,3.27,31.0,5.01,0
60.22,0.6022,5.53,25.17,3.76,0
31.82,0.3182,4.15,10.28,1.25,0
51.58,0.5158,4.02,20.87,3.34,0
20.29,0.2029,5.3,17.7,2.2,0
64.36,0.6436,8.83,26.37,3.32,0
53.25,0.5325,7.05,27.19,4.13,0
80.91,0.8091,3.19,14.71,2.35,0
27.79,0.2779,10.82,42.51,5.79,1
53.25,0.5325,5.11,13.55,1.93,0
23.81,0.2381,7.59,21.95,3.26,0
29.36,0.2936,10.23,34.86,4.22,0
56.46,0.5646,5.18,11.64,1.21,0
47.03,0.4703,4.95,24.02,4.39,0
50.45,0.5045,5.5,26.44,2.77,0
68.11,0.6811,0.54,2.62,0.33,0
62.61,0.6261,2.61,7.71,2.49,0
33.31,0.3331,7.5,32.82,5.19,0
56.61,0.5661,10.34,34.29,5.37,0
73.07,0.7307,6.44,29.72,3.96,0
68.63,0.6863,6.73,27.63,3.92,0
22.38,0.2238,7.24,29.76,3.92,0
45.0,0.45,7.9,18.88,3.15,0
24.01,0.2401,10.85,45.49,6.51,0
12.78,0.1278,15.77,49.65,6.47,1
58.94,0.5894,8.89,39.65,5.65,0
17.21,0.1721,7.92,15.96,2.89,0
52.95,0.5295,7.16,16.66,2.11,0
53.58,0.5358,9.43,40.99,5.03,0
45.66,0.4566,9.24,31.85,4.48,0
85.43,0.8543,5.14,12.02,1.92,0
66.28,0.6628,6.41,23.86,3.65,0
18.75,0.1875,3.25,16.31,1.92,0
23.19,0.2319,9.92,34.07,4.1,0
24.68,0.2468,9.32,51.2,6.32,0
29.5,0.295,5.41,18.97,2.52,0
71.48,0.7148,6.95,30.76,3.49,0
71.25,0.7125,7.95,25.64,4.2,0
73.01,0.7301,3.02,7.69,0.97,0
32.03,0.3203,3.96,24.34,3.71,0
53.33,0.5333,5.04,14.9,3.45,0
83.75,0.8375,8.75,27.38,3.91,0
37.87,0.3787,7.38,24.18,3.15,0
46.52,0.4652,6.88,22.96,3.74,0
55.54,0.5554,5.92,26.49,3.06,0
71.16,0.7116,6.83,33.66,3.39,0
17.64,0.1764,6.81,30.12,3.79,0
50.21,0.5021,5.62,24.5,4.2,0
27.55,0.2755,2.96,23.91,4.25,0
34.28,0.3428,8.59,30.78,4.69,0
64.33,0.6433,8.17,39.58,5.54,0
62.2,0.622,7.36,20.32,2.84,0
33.47,0.3347,10.02,30.27,4.47,0
34.96,0.3496,5.85,23.05,3.5,0
27.27,0.2727,7.57,27.16,3.24,0
20.49,0.2049,2.45,33.36,3.91,0
54.54,0.5454,11.3,42.36,4.97,0
28.96,0.2896,9.47,32.18,4.71,0
69.97,0.6997,3.59,16.75,2.47,0
76.48,0.7648,7.21,30.89,3.14,0
55.37,0.5537,6.76,18.6,3.08,0
50.88,0.5088,3.37,35.71,4.03,0
75.75,0.7575,6.04,10.49,1.85,0
31.96,0.3196,10.97,21.75,2.69,0
28.43,0.2843,4.43,28.81,3.76,0
36.75,0.3675,9.94,34.09,3.56,0
37.74,0.3774,7.09,19.39,3.83,0
59.36,0.5936,5.69,39.42,4.82,0
29.5,0.295,6.43,31.06,3.55,0
76.85,0.7685,2.85,16.63,3.09,0
60.99,0.6099,5.08,31.11,3.47,0
26.13,0.2613,4.73,13.07,2.23,0
55.6,0.556,6.44,12.01,2.48,0
46.25,0.4625,7.02,36.98,5.37,0
75.08,0.7508,3.96,12.82,2.31,0
21.77,0.2177,4.68,28.7,4.08,0
35.79,0.3579,2.29,30.21,3.81,0
58.29,0.5829,5.5,15.08,1.87,0
64.98,0.6498,5.8,20.74,3.63,0
55.08,0.5508,7.03,26.74,3.11,0
28.17,0.2817,11.68,31.1,3.3,0
47.75,0.4775,2.31,25.52,4.08,0
60.7,0.607,3.59,26.37,4.31,0
29.9,0.299,0.69,5.17,1.46,0
68.57,0.6857,7.43,23.96,3.68,0
19.68,0.1968,5.01,30.01,4.95,0
66.78,0.6678,5.51,40.1,4.66,0
93.69,0.9369,5.96,34.17,4.88,0
48.7,0.487,6.29,18.2,3.54,0
22.89,0.2289,2.53,28.81,2.98,0
73.74,0.7374,4.57,26.87,4.6,0
68.85,0.6885,3.49,12.21,2.26,0
27.49,0.2749,7.73,31.25,4.08,0
31.07,0.3107,7.84,32.92,3.84,0
25.32,0.2532,10.67,35.36,3.93,1
20.41,0.2041,7.05,26.7,3.2,0
70.81,0.7081,7.3,11.33,2.43,0
14.88,0.1488,15.14,52.87,7.03,1
53.66,0.5366,5.19,14.16,1.68,0
34.6,0.346,7.6,32.76,4.1,0
48.48,0.4848,4.93,31.45,4.27,0
56.57,0.5657,10.67,31.88,4.59,0
69.85,0.6985,8.06,20.82,3.84,0
36.0,0.36,9.27,27.59,4.69,0
77.75,0.7775,5.21,17.71,2.53,0
18.21,0.1821,2.79,16.34,3.32,0
19.82,0.1982,6.78,19.09,3.32,0
36.55,0.3655,11.37,31.87,3.59,0
45.27,0.4527,6.84,10.69,2.02,0
73.58,0.7358,0.59,5.94,2.47,0
57.94,0.5794,6.94,9.01,1.42,0
76.76,0.7676,4.54,17.99,2.25,0
31.23,0.3123,5.29,32.32,3.25,0
24.0,0.24,0.8,30.26,3.96,0
76.96,0.7696,4.84,34.99,5.11,0
17.24,0.1724,7.73,31.59,3.22,0
48.7,0.487,4.15,25.83,4.32,0
61.91,0.6191,10.05,41.35,5.34,0
61.04,0.6104,6.43,29.74,4.48,0
20.72,0.2072,6.6,7.03,1.94,0
46.93,0.4693,6.96,10.41,1.94,0
30.48,0.3048,7.24,25.84,3.24,0
20.95,0.2095,7.09,34.14,4.24,0
58.26,0.5826,8.92,17.15,2.94,0
78.84,0.7884,7.5,33.65,3.98,0
33.69,0.3369,10.34,36.67,4.69,0
22.0,0.22,8.1,17.07,3.35,0
53.99,0.5399,1.23,13.81,1.65,0
49.93,0.4993,2.24,32.8,4.42,0
54.38,0.5438,5.33,11.4,2.4,0
70.6,0.706,4.53,18.3,2.15,0
26.22,0.2622,7.21,15.64,3.07,0
50.2,0.502,5.89,31.17,3.98,0
45.65,0.4565,1.38,10.8,2.31,0
48.13,0.4813,6.38,10.2,1.45,0
66.02,0.6602,2.75,14.19,1.93,0
67.0,0.67,6.23,41.25,5.14,0
51.35,0.5135,8.89,40.8,4.58,0
76.91,0.7691,2.88,31.85,3.95,0
57.29,0.5729,6.12,16.05,2.43,0
80.34,0.8034,7.3,11.3,1.27,0
27.05,0.2705,6.91,14.92,2.98,0
56.82,0.5682,3.28,18.72,2.47,0
22.57,0.2257,8.23,35.32,5.28,0
24.07,0.2407,6.58,31.36,3.98,0
94.79,0.9479,2.18,29.63,4.03,0
19.78,0.1978,7.51,27.14,2.83,0
49.16,0.4916,2.87,29.38,3.95,0
40.86,0.4086,6.7,23.57,3.99,0
84.93,0.8493,4.8,10.34,1.89,0
36.46,0.3646,1.88,29.29,3.92,0
75.34,0.7534,6.34,20.72,3.12,0
35.03,0.3503,3.14,11.37,2.33,0
26.41,0.2641,5.49,34.9,3.59,0
56.03,0.5603,4.68,21.7,3.17,0
81.13,0.8113,4.57,10.13,2.51,0
60.23,0.6023,8.66,13.08,2.79,0
48.64,0.4864,6.2,8.5,2.8,0
84.04,0.8404,3.1,2.04,0.24,0
56.05,0.5605,4.39,13.5,1.67,0
67.58,0.6758,0.2,24.14,4.14,0
37.47,0.3747,5.17,19.18,2.94,0
39.8,0.398,10.2,36.67,4.81,0
78.07,0.7807,2.81,15.1,2.17,0
57.61,0.5761,4.35,36.79,3.69,0
28.27,0.2827,6.52,29.57,3.25,0
18.19,0.1819,3.03,21.02,3.95,0
53.55,0.5355,4.84,33.14,4.33,0
55.32,0.5532,7.29,21.11,2.27,0
55.57,0.5557,3.42,18.99,2.6,0
84.34,0.8434,6.81,12.45,2.04,0
17.68,0.1768,9.29,33.67,3.82,0
40.89,0.4089,4.2,25.58,3.98,0
22.37,0.2237,5.4,36.26,5.57,0
17.16,0.1716,3.0,10.71,2.26,0
66.43,0.6643,10.25,22.62,2.44,0
64.42,0.6442,3.82,26.74,2.7,0
34.67,0.3467,4.82,33.14,4.02,0
46.98,0.4698,1.83,20.44,2.21,0
17.65,0.1765,8.65,31.08,3.74,0
17.43,0.1743,5.72,14.03,1.86,0
41.95,0.4195,4.89,11.45,1.38,0
33.59,0.3359,2.2,10.22,2.94,0
51.72,0.5172,4.46,21.38,3.95,0
61.83,0.6183,9.32,38.86,5.21,0
53.83,0.5383,4.81,35.11,4.8,0
50.62,0.5062,3.65,14.69,2.59,0
23.82,0.2382,3.23,25.61,4.13,0
66.71,0.6671,9.34,26.27,4.23,0
71.72,0.7172,6.79,11.83,1.4,0
73.08,0.7308,4.73,29.84,3.91,0
44.64,0.4464,7.22,45.56,6.51,0
60.48,0.6048,4.1,29.41,4.09,0
28.9,0.289,6.77,22.36,2.87,0
69.8,0.698,5.98,30.79,4.66,0
26.89,0.2689,6.92,40.37,5.28,0
67.75,0.6775,6.19,29.0,3.82,0
69.41,0.6941,6.52,25.49,3.02,0
57.24,0.5724,8.22,28.06,3.34,0
45.7,0.457,4.83,8.83,0.98,0
50.81,0.5081,7.38,34.04,5.34,0
18.47,0.1847,6.47,16.25,2.67,0
74.88,0.7488,6.09,30.11,3.35,0
34.92,0.3492,4.55,14.11,2.77,0
29.91,0.2991,4.93,13.9,2.52,0
33.15,0.3315,1.21,3.94,1.39,0
65.69,0.6569,6.0,19.32,3.52,0
48.72,0.4872,7.43,13.62,2.73,0
67.19,0.6719,5.79,14.87,2.85,0
67.87,0.6787,5.17,20.39,3.73,0
91.69,0.9169,6.91,6.75,1.26,0
25.43,0.2543,3.64,30.99,3.36,0
62.5,0.625,3.05,29.26,3.23,0
59.12,0.5912,5.93,32.41,5.09,0
33.0,0.33,7.25,18.13,2.2,0
18.32,0.1832,11.41,28.64,3.98,1
90.96,0.9096,5.38,13.06,3.13,0
28.47,0.2847,5.64,23.82,3.24,0
51.74,0.5174,5.07,2.23,0.71,0
72.37,0.7237,7.32,10.23,1.14,0
20.28,0.2028,3.43,12.73,3.27,0
50.41,0.5041,1.96,16.59,2.09,0
73.51,0.7351,7.6,25.12,2.9,0
52.56,0.5256,11.55,34.5,4.29,0
47.79,0.4779,2.22,21.4,3.39,0
30.2,0.302,5.96,40.34,5.52,0
66.89,0.6689,2.06,17.77,2.67,0
20.08,0.2008,11.25,39.42,5.48,0
46.4,0.464,6.48,26.15,2.72,0
79.78,0.7978,3.68,34.31,3.98,0
79.97,0.7997,5.36,31.89,4.97,0
46.82,0.4682,6.55,19.11,2.01,0
21.23,0.2123,11.02,38.4,5.45,0
27.95,0.2795,5.13,24.48,4.07,0
18.59,0.1859,4.52,34.83,4.62,0
54.33,0.5433,6.22,11.26,2.5,0
59.74,0.5974,7.35,34.02,4.07,0
39.33,0.3933,7.26,28.05,3.49,0
68.72,0.6872,2.69,27.4,4.19,0
43.55,0.4355,7.13,14.48,3.32,0
46.76,0.4676,11.25,29.58,3.84,0
43.36,0.4336,5.53,16.76,2.7,0
47.16,0.4716,4.76,31.72,5.16,0
53.59,0.5359,11.41,21.87,2.59,0
48.59,0.4859,6.8,36.37,3.69,0
22.4,0.224,6.82,18.33,3.56,0
38.67,0.3867,6.17,21.9,3.56,0
38.7,0.387,5.32,30.29,4.69,0
63.83,0.6383,8.92,15.6,2.3,0
58.5,0.585,6.62,22.55,2.78,0
73.94,0.7394,3.47,12.73,2.53,0
75.91,0.7591,6.1,35.72,5.37,0
64.04,0.6404,2.64,2.62,1.22,0
45.01,0.4501,6.07,32.86,4.41,0
47.52,0.4752,5.99,15.5,2.19,0
39.26,0.3926,4.82,33.23,4.68,0
74.52,0.7452,3.52,14.82,3.01,0
37.99,0.3799,11.04,26.28,4.07,0
70.46,0.7046,8.65,40.96,5.31,0
65.72,0.6572,4.96,28.4,2.88,0
48.06,0.4806,5.28,40.37,4.88,0
22.76,0.2276,6.78,17.99,2.81,0
30.22,0.3022,8.5,27.7,4.36,0
71.48,0.7148,2.94,14.07,1.91,0
70.7,0.707,3.91,32.92,4.85,0
55.7,0.557,10.15,31.13,3.64,0
33.16,0.3316,7.95,18.81,3.17,0
46.8,0.468,7.11,11.15,1.83,0
72.35,0.7235,6.47,31.32,3.92,0
75.08,0.7508,6.43,7.38,1.14,0
65.33,0.6533,3.9,30.65,3.34,0
50.25,0.5025,7.65,28.03,4.35,0
44.92,0.4492,0.84,26.91,3.04,0
34.06,0.3406,5.82,25.43,2.84,0
31.19,0.3119,10.26,40.66,4.48,0
70.26,0.7026,7.14,29.2,3.84,0
75.8,0.758,3.8,28.06,4.44,0
80.17,0.8017,6.37,24.06,4.15,0
24.69,0.2469,2.47,17.02,2.94,0
17.01,0.1701,8.94,38.77,4.68,0
46.63,0.4663,6.73,22.16,3.26,0
85.09,0.8509,4.24,21.27,3.67,0
42.71,0.4271,7.51,15.7,1.94,0
52.36,0.5236,5.68,16.37,2.8,0
35.74,0.3574,6.3,27.56,4.37,0
58.99,0.5899,6.95,33.34,4.32,0
51.98,0.5198,7.7,28.57,4.75,0
47.78,0.4778,2.57,10.75,1.48,0
16.87,0.1687,6.49,20.69,2.68,0
59.1,0.591,2.72,12.37,2.11,0
28.29,0.2829,6.83,9.75,1.3,0
33.61,0.3361,2.86,9.97,2.98,0
30.21,0.3021,8.71,12.76,1.83,0
26.45,0.2645,6.94,15.24,2.46,0
65.86,0.6586,9.52,25.85,4.52,0
69.69,0.6969,4.21,7.93,2.26,0
41.34,0.4134,4.28,26.06,4.25,0
39.84,0.3984,6.12,20.81,2.28,0
81.12,0.8112,4.94,18.74,2.66,0
18.13,0.1813,7.51,27.71,4.46,0
77.43,0.7743,8.78,25.81,3.82,0
39.21,0.3921,7.26,26.46,3.8,0
60.65,0.6065,6.04,36.93,4.45,0
46.2,0.462,6.66,29.09,4.31,0
39.63,0.3963,6.4,21.84,3.71,0
59.19,0.5919,1.47,25.84,3.79,0
62.21,0.6221,6.24,22.18,3.69,0
72.63,0.7263,7.53,30.48,3.87,0
57.5,0.575,4.87,27.32,3.53,0
81.64,0.8164,4.11,32.52,4.53,0
42.05,0.4205,0.52,30.92,3.23,0
39.25,0.3925,7.17,33.24,5.21,0
46.69,0.4669,6.5,9.88,1.82,0
72.33,0.7233,7.27,14.93,2.16,0
96.14,0.9614,3.46,6.42,1.71,0
59.54,0.5954,3.53,34.85,4.91,0
15.97,0.1597,8.12,17.52,2.36,0
49.71,0.4971,3.12,30.68,4.87,0
50.51,0.5051,4.8,27.94,4.53,0
30.78,0.3078,9.34,37.42,4.55,0
21.44,0.2144,3.79,34.61,4.83,0
44.28,0.4428,5.18,32.56,4.28,0
